2025-10-23T16:37:54.434203 | Sheet: DevelopmentLeads | Listings: 0 | Location: Newton, MA
2025-10-23T16:43:11.346445 | Sheet: DevelopmentLeads | Listings: 0 | Location: Newton, MA
2025-10-23T16:45:31.211577 | Sheet: DevelopmentLeads | Listings: 0 | Location: Newton, MA
2025-10-23T16:46:02.529909 | Sheet: DevelopmentLeads | Listings: 0 | Location: Newton, MA
2025-10-23T16:52:37.349383 | Sheet: DevelopmentLeads | Listings: 0 | Location: Newton, MA
2025-10-23T16:54:58.248740 | Sheet: DevelopmentLeads | Listings: 0 | Location: Newton, MA
2025-10-23T16:58:35.370479 | Sheet: DevelopmentLeads | Listings: 0 | Location: Newton, MA
2025-10-23T16:59:49.281891 | Sheet: DevelopmentLeads | Listings: 0 | Location: Newton, MA
2025-10-23T17:02:59.351531 | Sheet: DevelopmentLeads | Listings: 9 | Location: Newton, MA
2025-10-23T17:05:39.867705 | Sheet: DevelopmentLeads | Listings: 29 | Location: Newton, MA
2025-10-24T15:58:18.203691 | Sheet: DevelopmentLeads | Listings: 28 | Location: Newton, MA
2025-10-24T16:00:07.219973 | Sheet: DevelopmentLeads | Listings: 28 | Location: Newton, MA
2025-10-24T16:09:18.280748 | Sheet: DevelopmentLeads | Listings: 28 | Location: Newton, MA
2025-10-24T16:12:40.300202 | Sheet: DevelopmentLeads | Listings: 28 | Location: Newton, MA
2025-10-24T16:27:50.385939 | Sheet: DevelopmentLeads | Listings: 28 | Location: Newton, MA
2025-10-24T16:42:59.728030 | Sheet: DevelopmentLeads | Listings: 28 | Location: Newton, MA
2025-10-24T17:31:56.293575 | Sheet: DevelopmentLeads | Listings: 29 | Location: Newton, MA
2025-10-24T17:39:40.751519 | Sheet: DevelopmentLeads | Listings: 29 | Location: Newton, MA
2025-10-24T17:42:55.183206 | Sheet: DevelopmentLeads | Listings: 29 | Location: Newton, MA
2025-10-24T17:47:47.437615 | Sheet: DevelopmentLeads | Listings: 29 | Location: Newton, MA
2025-10-25T11:45:40.891468 | Sheet: DevelopmentLeads | Listings: 38 | Location: Newton, MA
2025-11-04T17:09:47.543444 | Sheet: DevelopmentLeads | Listings: 23 | Location: Newton, MA
2025-11-04T17:12:22.223781 | Sheet: DevelopmentLeads | Listings: 23 | Location: Newton, MA
2025-11-04T17:19:13.857559 | Sheet: DevelopmentLeads | Listings: 36 | Location: Newton, MA
2025-11-04T17:23:13.721095 | Sheet: DevelopmentLeads | Listings: 36 | Location: Newton, MA
